time,x,y,z,yaw,x_des,y_des,z_des,yaw_des
0.30000,-1.00000,2.00000,0.06000,-0.00000,0.00000,0.00000,1.00000,0.00000,
0.34000,-1.00000,2.00000,0.06000,-0.00000,0.00000,0.00000,1.00000,0.00000,
0.37000,-1.00000,1.99999,0.06001,-0.00001,0.00000,0.00000,1.00000,0.00000,
0.44000,-0.99994,1.99986,0.06043,-0.00006,0.00000,0.00000,1.00000,0.00000,
0.47000,-0.99977,1.99954,0.06243,-0.00006,0.00000,0.00000,1.00000,0.00000,
0.50000,-0.99955,1.99906,0.06512,0.00015,0.00000,0.00000,1.00000,0.00000,
0.54000,-0.99844,1.99665,0.07361,0.00122,0.00000,0.00000,1.00000,0.00000,
0.60000,-0.99690,1.99336,0.08135,0.00205,0.00000,0.00000,1.00000,0.00000,
0.64000,-0.99519,1.98977,0.08810,0.00249,0.00000,0.00000,1.00000,0.00000,
0.67000,-0.99211,1.98335,0.09830,0.00271,0.00000,0.00000,1.00000,0.00000,
0.70000,-0.98571,1.97020,0.11603,0.00242,0.00000,0.00000,1.00000,0.00000,
0.77000,-0.98031,1.95923,0.12930,0.00206,0.00000,0.00000,1.00000,0.00000,
0.80000,-0.97572,1.94994,0.13993,0.00180,0.00000,0.00000,1.00000,0.00000,
0.84000,-0.97070,1.93981,0.15112,0.00160,0.00000,0.00000,1.00000,0.00000,
0.87000,-0.96337,1.92509,0.16688,0.00145,0.00000,0.00000,1.00000,0.00000,
0.90000,-0.95944,1.91722,0.17510,0.00141,0.00000,0.00000,1.00000,0.00000,
0.94000,-0.95110,1.90053,0.19219,0.00141,0.00000,0.00000,1.00000,0.00000,
0.97000,-0.94211,1.88258,0.21009,0.00145,0.00000,0.00000,1.00000,0.00000,
1.00000,-0.93494,1.86831,0.22399,0.00148,0.00000,0.00000,1.00000,0.00000,
1.04000,-0.92742,1.85335,0.23823,0.00150,0.00000,0.00000,1.00000,0.00000,
1.07000,-0.91684,1.83236,0.25775,0.00149,0.00000,0.00000,1.00000,0.00000,
1.10000,-0.90852,1.81586,0.27273,0.00146,0.00000,0.00000,1.00000,0.00000,
1.14000,-0.89986,1.79874,0.28796,0.00141,0.00000,0.00000,1.00000,0.00000,
1.17000,-0.88783,1.77500,0.30866,0.00134,0.00000,0.00000,1.00000,0.00000,
1.20000,-0.87847,1.75655,0.32443,0.00130,0.00000,0.00000,1.00000,0.00000,
1.24000,-0.86882,1.73757,0.34039,0.00127,0.00000,0.00000,1.00000,0.00000,
1.27000,-0.85555,1.71150,0.36192,0.00124,0.00000,0.00000,1.00000,0.00000,
1.30000,-0.84530,1.69139,0.37822,0.00123,0.00000,0.00000,1.00000,0.00000,
1.34000,-0.83482,1.67085,0.39463,0.00123,0.00000,0.00000,1.00000,0.00000,
1.37000,-0.82049,1.64280,0.41664,0.00123,0.00000,0.00000,1.00000,0.00000,
1.40000,-0.80949,1.62130,0.43324,0.00124,0.00000,0.00000,1.00000,0.00000,
1.44000,-0.79829,1.59942,0.44989,0.00124,0.00000,0.00000,1.00000,0.00000,
1.47000,-0.78304,1.56968,0.47214,0.00125,0.00000,0.00000,1.00000,0.00000,
1.50000,-0.77139,1.54698,0.48884,0.00126,0.00000,0.00000,1.00000,0.00000,
1.54000,-0.74353,1.49282,0.52771,0.00125,0.00000,0.00000,1.00000,0.00000,
